"country","Date","flu_cases","dengue_cases","life_expectancy"
Argentina,"2006-01-01","87","0.01",75.3
Australia,"2006-01-01","163",,81.4
Austria,"2006-01-01","786",,80.0
Belgium,"2006-01-01","117",,79.5
Bolivia,"2006-01-01","250","0.013",70.6
Brazil,"2006-01-01","192","0.067",72.7
Bulgaria,"2006-01-01","1120",,72.7
Canada,"2006-01-01","2915",,80.5
Chile,"2006-01-01","1",,78.2
France,"2006-01-01","127",,80.7
Germany,"2006-01-01","1289",,79.7
Hungary,"2006-01-01","52",,73.3
Japan,"2006-01-01","310",,82.2
Mexico,"2006-01-01","1397","0.033",75.4
Netherlands,"2006-01-01","23",,79.9
New Zealand,"2006-01-01","17",,79.9
Norway,"2006-01-01","46",,80.4
Paraguay,"2006-01-01","251",,74.0
Peru,"2006-01-01","218",,77.7
Poland,"2006-01-01","54",,75.2
Romania,"2006-01-01","831",,72.8
Russia,"2006-01-01","436",,66.7
South Africa,"2006-01-01",NA,,52.5
Spain,"2006-01-01","23",,80.7
Sweden,"2006-01-01","3",,80.8
Switzerland,"2006-01-01","42",,81.5
Ukraine,"2006-01-01","404",,67.9
United States,"2006-01-01","2522",,77.8
Uruguay,"2006-01-01","103",,75.7
Argentina,"2012-01-01","58","0.034",76.1
Australia,"2012-01-01","156",,82.4
Austria,"2012-01-01","819",,80.9
Belgium,"2012-01-01","68",,80.3
Bolivia,"2012-01-01","105","0.061",72.4
Brazil,"2012-01-01","100","0.103",74.0
Bulgaria,"2012-01-01","497",,74.5
Canada,"2012-01-01","2816",,81.6
Chile,"2012-01-01","3",,79.1
France,"2012-01-01","71",,81.6
Germany,"2012-01-01","892",,80.6
Hungary,"2012-01-01","60",,75.5
Japan,"2012-01-01","222",,82.9
Mexico,"2012-01-01","1362","0.054",75.7
Netherlands,"2012-01-01","35",,81.0
New Zealand,"2012-01-01","14",,81.1
Norway,"2012-01-01","136",,81.6
Paraguay,"2012-01-01","97",,74.1
Peru,"2012-01-01","97",,78.7
Poland,"2012-01-01","31",,76.7
Romania,"2012-01-01","630",,74.7
Russia,"2012-01-01","474",,70.4
South Africa,"2012-01-01","2017",,59.0
Spain,"2012-01-01","53",,82.2
Sweden,"2012-01-01","4",,81.8
Switzerland,"2012-01-01","40",,82.7
Ukraine,"2012-01-01","360",,71.2
United States,"2012-01-01","2860",,79.0
Uruguay,"2012-01-01","52",,76.3
Mexico,"2007-04-08","1207","0.066",
Bolivia,"2014-04-27","236","0.025",
Bulgaria,"2003-12-21",NA,,
Poland,"2010-07-18","8",,
Austria,"2006-08-06","385",,
United States,"2007-06-10","764",,
Japan,"2008-08-17","2",,
Romania,"2005-11-20","700",,
Netherlands,"2005-01-02","34",,
Canada,"2015-05-10","1333",,
Russia,"2004-07-25",NA,,
Poland,"2004-05-30",NA,,
Poland,"2011-05-08","17",,
Netherlands,"2015-02-01","158",,
South Africa,"2003-09-28",NA,,
Argentina,"2014-03-30","107","0.084",
Switzerland,"2007-12-30","240",,
Ukraine,"2014-08-10","222",,
Peru,"2004-08-29","353",,
Australia,"2011-04-24","192",,
Switzerland,"2012-01-08","50",,
Ukraine,"2009-05-10","289",,
Japan,"2005-12-04","79",,
South Africa,"2011-06-26","2971",,
Argentina,"2012-05-13","132","0.043",
Bulgaria,"2013-01-13","438",,
Russia,"2006-07-16","146",,
Austria,"2010-12-05","710",,
Mexico,"2009-10-11","1131","0.988",
Hungary,"2012-06-03","29",,
France,"2007-09-02","8",,
Spain,"2007-07-22","13",,
Norway,"2011-10-23","52",,
Poland,"2015-07-26","9",,
Bulgaria,"2009-07-26","307",,
Switzerland,"2004-04-04","12",,
United States,"2009-10-04","5424",,
Brazil,"2015-02-01","112","0.195",
Bulgaria,"2011-01-16","1785",,
New Zealand,"2014-03-09","21",,
Uruguay,"2011-11-06","73",,
Ukraine,"2004-04-04",NA,,
Russia,"2003-07-27",NA,,
Canada,"2009-09-13","2621",,
Austria,"2006-05-21","553",,
Chile,"2014-07-27","26",,
Paraguay,"2014-11-16","268",,
Switzerland,"2009-05-10","18",,
Germany,"2012-02-05","956",,
Brazil,"2005-01-02","170","0.063",
Chile,"2008-10-26","4",,
New Zealand,"2013-06-02","48",,
Ukraine,"2012-01-08","346",,
Norway,"2010-04-11","26",,
Canada,"2006-10-01","1770",,
Poland,"2015-01-25","70",,
Argentina,"2004-03-21","119","0.065",
New Zealand,"2010-03-14","15",,
Sweden,"2009-06-21","2",,
Sweden,"2011-10-16","3",,
Bulgaria,"2007-09-16","396",,
Peru,"2008-03-23","212",,
Ukraine,"2007-12-30","398",,
Switzerland,"2014-08-10","32",,
Bolivia,"2008-12-28","179","0.065",
Argentina,"2015-03-08","86","0.092",
Peru,"2012-01-29","93",,
Germany,"2009-07-12","370",,
Canada,"2007-10-28","1628",,
Paraguay,"2010-11-21","198",,
Mexico,"2005-06-05","740","0.075",
Canada,"2008-06-01","688",,
Germany,"2013-06-16","353",,
Uruguay,"2008-11-30","80",,
Mexico,"2007-11-18","1516","0.214",
Canada,"2004-10-10","1675",,
United States,"2010-01-31","1910",,
Sweden,"2006-02-26","9",,
Sweden,"2003-06-01",NA,,
Brazil,"2004-07-18","249","0.01",
Austria,"2005-09-11","525",,
Austria,"2007-11-11","807",,
South Africa,"2003-09-07",NA,,
Norway,"2015-05-24","46",,
Uruguay,"2003-10-26","157",,
South Africa,"2003-02-16",NA,,
Uruguay,"2005-04-17","146",,
Sweden,"2011-12-18","3",,
Hungary,"2002-12-29",NA,,
France,"2014-09-07","5",,
Hungary,"2007-07-08","38",,
Belgium,"2006-07-23","11",,
Belgium,"2014-02-02","230",,
Spain,"2009-11-29","84",,
Russia,"2007-02-04","408",,
Uruguay,"2009-05-31","156",,
Sweden,"2009-04-26","8",,
Australia,"2009-03-01","188",,
Japan,"2008-09-14","2",,
Austria,"2008-05-18","539",,
Hungary,"2008-01-27","493",,
South Africa,"2004-08-15",NA,,
Austria,"2003-01-12",NA,,
Chile,"2005-03-06","1",,
Norway,"2008-08-24","24",,
Argentina,"2011-08-21","152","0.029",
Romania,"2004-02-22","761",,
Netherlands,"2007-07-15","16",,
Argentina,"2004-06-27","271","0.024",
Bulgaria,"2009-02-01","1046",,
